iter	Passed	Remaining
0	6	3230
1	8	2102
2	10	1755
3	13	1620
4	15	1516
5	17	1411
6	18	1329
7	20	1264
8	23	1258
9	24	1221
10	26	1192
11	28	1157
12	30	1146
13	32	1125
14	34	1110
15	36	1090
16	38	1089
17	40	1073
18	42	1069
19	44	1060
20	46	1059
21	48	1046
22	50	1043
23	52	1035
24	54	1036
25	56	1025
26	58	1017
27	59	1009
28	61	1001
29	64	1008
30	66	998
31	67	993
32	69	984
33	71	982
34	73	975
35	75	977
36	77	970
37	79	971
38	81	964
39	83	961
40	85	957
41	87	956
42	89	951
43	91	950
44	93	945
45	95	941
46	97	937
47	99	933
48	100	928
49	102	925
50	104	923
51	106	919
52	108	915
53	110	913
54	113	914
55	114	910
56	116	906
57	118	904
58	121	905
59	122	901
60	124	899
61	126	897
62	129	897
63	131	893
64	133	891
65	135	889
66	137	889
67	139	885
68	141	883
69	143	880
70	145	880
71	147	877
72	150	878
73	152	875
74	154	873
75	156	870
76	158	869
77	159	865
78	162	864
79	164	861
80	166	860
81	168	858
82	171	861
83	173	860
84	175	857
85	178	857
86	180	855
87	182	853
88	184	850
89	186	851
90	188	848
91	190	846
92	192	844
93	195	842
94	197	840
95	199	839
96	201	836
97	203	835
98	205	833
99	207	831
100	210	830
101	212	827
102	214	825
103	216	822
104	218	821
105	220	818
106	222	816
107	224	814
108	226	810
109	228	809
110	230	807
111	232	805
112	234	803
113	236	802
114	239	801
115	241	797
116	243	797
117	245	795
118	247	793
119	249	790
120	251	788
121	253	786
122	255	784
123	257	781
124	259	779
125	261	777
126	263	775
127	266	773
128	268	771
129	270	770
130	272	768
131	275	766
132	277	765
133	279	763
134	282	762
135	284	761
136	286	759
137	289	758
138	290	755
139	293	753
140	295	751
141	297	749
142	299	747
143	301	745
144	303	743
145	306	741
146	308	739
147	310	738
148	312	737
149	315	736
150	317	734
151	320	732
152	322	731
153	325	730
154	327	729
155	329	727
156	332	725
157	335	725
158	337	723
159	339	722
160	342	720
161	345	720
162	347	719
163	350	718
164	352	716
165	355	714
166	357	712
167	359	711
168	361	708
169	364	706
170	366	704
171	368	702
172	370	701
173	373	699
174	375	697
175	378	696
176	380	694
177	382	692
178	385	691
179	388	690
180	390	687
181	392	686
182	395	684
183	397	682
184	399	680
185	402	678
186	404	676
187	406	674
188	409	673
189	411	671
190	414	670
191	416	668
192	419	667
193	422	666
194	424	663
195	427	662
196	429	660
197	431	658
198	434	657
199	437	655
200	439	653
201	442	652
202	444	650
203	446	648
204	449	646
205	452	645
206	454	643
207	456	641
208	459	640
209	462	638
210	464	635
211	466	634
212	469	632
213	471	630
214	473	627
215	476	626
216	478	624
217	481	622
218	483	620
219	485	618
220	487	616
221	489	613
222	492	611
223	494	609
224	496	607
225	498	604
226	501	602
227	503	600
228	505	598
229	508	596
230	510	594
231	512	592
232	514	590
233	517	588
234	519	585
235	521	583
236	523	580
237	525	578
238	528	576
239	530	574
240	531	571
241	534	569
242	536	567
243	538	564
244	540	562
245	543	560
246	545	558
247	547	556
248	550	554
249	552	552
250	554	550
251	556	547
252	559	545
253	561	543
254	563	541
255	566	539
256	567	537
257	570	535
258	572	533
259	575	531
260	577	529
261	580	526
262	582	524
263	584	522
264	586	520
265	588	518
266	591	516
267	594	514
268	596	512
269	599	510
270	601	508
271	604	506
272	606	504
273	609	502
274	611	500
275	614	498
276	616	496
277	619	494
278	621	492
279	624	490
280	626	488
281	629	486
282	631	484
283	634	482
284	636	480
285	639	478
286	641	476
287	644	474
288	646	472
289	649	470
290	652	468
291	654	466
292	657	464
293	659	462
294	662	460
295	664	458
296	666	455
297	669	453
298	671	451
299	674	449
300	676	447
301	678	445
302	681	443
303	683	440
304	686	438
305	688	436
306	691	434
307	693	432
308	696	430
309	698	428
310	701	426
311	703	424
312	706	422
313	708	419
314	711	417
315	713	415
316	715	412
317	717	410
318	720	408
319	722	406
320	724	404
321	727	401
322	729	399
323	732	398
324	735	396
325	738	393
326	740	391
327	742	389
328	745	387
329	747	385
330	750	383
331	752	380
332	755	378
333	757	376
334	759	374
335	761	371
336	764	369
337	766	367
338	768	365
339	771	363
340	774	361
341	776	358
342	779	356
343	781	354
344	783	351
345	785	349
346	787	347
347	790	345
348	792	343
349	795	340
350	798	338
351	800	336
352	802	334
353	805	332
354	807	329
355	809	327
356	812	325
357	814	323
358	817	321
359	819	318
360	822	316
361	824	314
362	826	311
363	828	309
364	831	307
365	833	305
366	836	303
367	838	300
368	841	298
